#    T8     rate

     10001
2.0000000000000000E-03    1.0515034016689100E-103
2.1999800000000000E-02     2.6436222580268883E-42
4.1999599999999998E-02     1.1793101029515738E-32
6.1999400000000003E-02     8.6568919036484125E-28
8.1999199999999994E-02     1.1265372226756781E-24
1.0199900000000001E-01     1.9215849545399337E-22
1.2199880000000000E-01     9.8535353713296278E-21
1.4199860000000000E-01     2.3062878720994901E-19
1.6199839999999999E-01     3.1234252092765594E-18
1.8199820000000000E-01     2.8338012263209794E-17
2.0199800000000001E-01     1.8964196574195581E-16
2.2199780000000000E-01     1.0003091076090394E-15
2.4199760000000001E-01     4.3609775922900283E-15
2.6199739999999999E-01     1.6274072326957484E-14
2.8199720000000000E-01     5.3381149180803818E-14
3.0199700000000002E-01     1.5709667397524081E-13
3.2199680000000003E-01     4.2155285454264650E-13
3.4199659999999998E-01     1.0448687685108009E-12
3.6199640000000000E-01     2.4174486047483810E-12
3.8199620000000001E-01     5.2660730485981952E-12
4.0199600000000002E-01     1.0878394458465850E-11
4.2199579999999998E-01     2.1438956826619956E-11
4.4199559999999999E-01     4.0514882641853599E-11
4.6199540000000000E-01     7.3736732870842626E-11
4.8199520000000001E-01     1.2972758360982271E-10
5.0199499999999997E-01     2.2134091229585794E-10
5.2199479999999998E-01     3.6727530256009763E-10
5.4199459999999999E-01     5.9414113558430019E-10
5.6199440000000001E-01     9.3906123620218282E-10
5.8199420000000002E-01     1.4528938070018336E-09
6.0199400000000003E-01     2.2041718607018345E-09
6.2199380000000004E-01     3.2838587241359150E-09
6.4199360000000005E-01     4.8110240463084735E-09
6.6199339999999995E-01     6.9395491697898865E-09
6.8199319999999997E-01     9.8659749105258906E-09
7.0199299999999998E-01     1.3838609162418629E-08
7.2199279999999999E-01     1.9168017167699311E-08
7.4199260000000000E-01     2.6239025417234582E-08
7.6199240000000001E-01     3.5524383889720159E-08
7.8199220000000003E-01     4.7600255593950701E-08
8.0199200000000004E-01     6.3163744863448148E-08
8.2199180000000005E-01     8.3052748111507621E-08
8.4199159999999995E-01     1.0826852917805142E-07
8.6199139999999996E-01     1.4000160813262637E-07
8.8199119999999998E-01     1.7966183595159289E-07
9.0199099999999999E-01     2.2891394286743909E-07
9.2199080000000000E-01     2.8972043636761301E-07
9.4199060000000001E-01     3.6439453144040284E-07
9.6199040000000002E-01     4.5566686891641895E-07
9.8199020000000004E-01     5.6677116548675376E-07
1.0019899999999999E+00     7.0155568519250651E-07
1.0219898000000001E+00     8.6462956311525433E-07
1.0419896000000000E+00     1.0615555721349157E-06
1.0619894000000001E+00     1.2991039119065403E-06
1.0819892000000000E+00     1.5855850058453476E-06
1.1019890000000001E+00     1.9312830860047293E-06
1.1219888000000000E+00     2.3490164740213555E-06
1.1419885999999999E+00     2.8548548531162210E-06
1.1619884000000000E+00     3.4690283746506602E-06
1.1819881999999999E+00     4.2170680374397488E-06
1.2019880000000001E+00     5.1312212883385534E-06
1.2219878000000000E+00     6.2521910773643162E-06
1.2419876000000001E+00     7.6312505131814171E-06
1.2619874000000000E+00     9.3327886585666057E-06
1.2819872000000001E+00     1.1437345739501531E-05
1.3019870000000000E+00     1.4045197985733470E-05
1.3219867999999999E+00     1.7280553360689946E-05
1.3419866000000000E+00     2.1296419480163347E-05
1.3619863999999999E+00     2.6280203991056129E-05
1.3819862000000001E+00     3.2460105538197367E-05
1.4019860000000000E+00     4.0112350170288963E-05
1.4219858000000001E+00     4.9569323634263932E-05
1.4419856000000000E+00     6.1228644516434394E-05
1.4619854000000001E+00     7.5563216669806752E-05
1.4819852000000000E+00     9.3132291904183281E-05
1.5019849999999999E+00     1.1459356561387009E-04
1.5219848000000000E+00     1.4071631899902244E-04
1.5419845999999999E+00     1.7239561193648948E-04
1.5619844000000001E+00     2.1066752052018413E-04
1.5819842000000000E+00     2.5672540297131665E-04
1.6019840000000001E+00     3.1193716716968644E-04
1.6219838000000000E+00     3.7786350263215371E-04
1.6419836000000001E+00     4.5627702951256275E-04
1.6619834000000000E+00     5.4918230726126911E-04
1.6819831999999999E+00     6.5883663609450649E-04
1.7019830000000000E+00     7.8777157550557293E-04
1.7219827999999999E+00     9.3881509580893789E-04
1.7419826000000000E+00     1.1151142712384036E-03
1.7619823999999999E+00     1.3201584164997684E-03
1.7819822000000001E+00     1.5578025629691592E-03
1.8019820000000000E+00     1.8322911659777166E-03
1.8219818000000001E+00     2.1482819308621067E-03
1.8419816000000000E+00     2.5108696427055353E-03
1.8619813999999999E+00     2.9256098829471906E-03
1.8819812000000000E+00     3.3985425152881590E-03
1.9019809999999999E+00     3.9362148235462654E-03
1.9219808000000000E+00     4.5457041852762668E-03
1.9419805999999999E+00     5.2346401670321126E-03
1.9619804000000001E+00     6.0112259300523921E-03
1.9819802000000000E+00     6.8842588388412784E-03
2.0019800000000001E+00     7.8631501695273394E-03
2.0219798000000000E+00     8.9579438199490560E-03
2.0419795999999999E+00     1.0179333929060124E-02
2.0619793999999998E+00     1.1538681319402378E-02
2.0819792000000001E+00     1.3048028682981529E-02
2.1019790000000000E+00     1.4720114437827787E-02
2.1219787999999999E+00     1.6568385189758533E-02
2.1419785999999998E+00     1.8607006741309166E-02
2.1619784000000002E+00     2.0850873597396603E-02
2.1819782000000001E+00     2.3315616924957490E-02
2.2019780000000000E+00     2.6017610931504037E-02
2.2219777999999999E+00     2.8973977635198867E-02
2.2419775999999998E+00     3.2202590006622372E-02
2.2619774000000001E+00     3.5722073469830445E-02
2.2819772000000000E+00     3.9551805757546590E-02
2.3019769999999999E+00     4.3711915122345735E-02
2.3219767999999998E+00     4.8223276912444463E-02
2.3419766000000002E+00     5.3107508527173754E-02
2.3619764000000001E+00     5.8386962773356851E-02
2.3819762000000000E+00     6.4084719649618024E-02
2.4019759999999999E+00     7.0224576591091617E-02
2.4219757999999998E+00     7.6831037212082495E-02
2.4419756000000001E+00     8.3929298588909212E-02
